歌单链接	歌单名字
https://music.163.com/playlist?id=382909999	KDA 女团 英雄联盟 pop stars
https://music.163.com/playlist?id=612386051	脸红的思春期全曲收录
https://music.163.com/playlist?id=163685080	天生歌姬［少女时代］金泰妍天籁之声
https://music.163.com/playlist?id=2385830114	韩?另类甜向治愈?你是我心内一首歌呀
https://music.163.com/playlist?id=433951295	韩语对唱|三听可乐的甜
https://music.163.com/playlist?id=2200905955	韩语甜蜜对唱 | 冬天来临前谈个恋爱吧
https://music.163.com/playlist?id=480743380	惊艳韩嗓，迷失于梦境之中
https://music.163.com/playlist?id=331077219	韩语小众☆致郁而又治愈的轻柔耳语
https://music.163.com/playlist?id=2203811732	抖音韩语歌 抖音韩文歌 ?????? ??????!
https://music.163.com/playlist?id=2137008091	韩剧《LIVE》OST&BGM
https://music.163.com/playlist?id=2292653714	韩式小众女声，慢热的人最长情
https://music.163.com/playlist?id=2005396799	「韩Inst」北风吹 雪纷飞 思念总相随
https://music.163.com/playlist?id=748891327	【韩语】在雨天，一个人听的歌
https://music.163.com/playlist?id=611107811	韩语·抒情男声与吉他的低声絮语
https://music.163.com/playlist?id=622090676	- 韩剧 大力女子都奉顺 OST
https://music.163.com/playlist?id=971889656	韩剧《当你沉睡时》OST合集
https://music.163.com/playlist?id=581574654	超甜告白☆喜欢的人眼睛里会闪星星?
https://music.163.com/playlist?id=957524639	什么秘方 才能变成可爱的女孩子呀
https://music.163.com/playlist?id=2129005717	听见青春：S.M.娱乐金曲精选
https://music.163.com/playlist?id=808000730	『韩系低音炮』男男合作的暴力美感
https://music.163.com/playlist?id=977883195	我不管我就喜欢你
https://music.163.com/playlist?id=2201443336	花样年华：防弹少年团歌曲精选
https://music.163.com/playlist?id=419806640	BF向?想把你的声音当成被子盖在身上
https://music.163.com/playlist?id=2149144282	“生活很讨厌，还好我可爱”
https://music.163.com/playlist?id=2123117466	韩语|比任何人都要认真努力地生活啊
https://music.163.com/playlist?id=561343403	［韩语］少女情怀总是诗
https://music.163.com/playlist?id=799458834	前方高甜 非战斗人员请护好心脏
https://music.163.com/playlist?id=439242811	〖韩〗慵懒的午后 我抱着猫咪睡着了
https://music.163.com/playlist?id=628996572	【金硕珍的spotify play list】
https://music.163.com/playlist?id=2129246950	韩式少女电子?冒泡的甜橙味汽水
https://music.163.com/playlist?id=93379679	谁说防弹的歌全都很吵?
https://music.163.com/playlist?id=2361513073	如何用手机铃声惊艳四座？ 韩语篇
https://music.163.com/playlist?id=310706046	王嘉尔参与作词作曲的歌
https://music.163.com/playlist?id=124068903	金泫雅◆INS舞蹈视频常用BGM全收录 [持更]?
https://music.163.com/playlist?id=812121499	温柔治愈系韩曲，融化在初秋的暖阳里
https://music.163.com/playlist?id=436242179	适合午后的韩式轻快小节奏
https://music.163.com/playlist?id=2214962534	『我需要你，我只需要你』
https://music.163.com/playlist?id=2257422855	【Kor】Rnbass?慢 性 沦 陷
https://music.163.com/playlist?id=2060088237	韩剧《花游记》???歌曲集合
https://music.163.com/playlist?id=547186784	蓝色大海的传说主题曲/插曲合辑
https://music.163.com/playlist?id=765751795	橙光【深情鬼】BGM合集
https://music.163.com/playlist?id=101931059	IU不韩流的好歌
https://music.163.com/playlist?id=2027230022	脸红的思春期专场｜初恋热恋
https://music.163.com/playlist?id=82644786	T-ara，皇冠团那些好听爆表的治愈系慢歌！
https://music.163.com/playlist?id=2429929844	韩语治愈 | IU窝在耳朵里的阳光
https://music.163.com/playlist?id=2032894170	韩语：怦然心动，听了想恋爱的OST
https://music.163.com/playlist?id=2092033430	泫雅：性感霸气的百变女王
https://music.163.com/playlist?id=2133763339	经常请吃饭的漂亮姐姐 OST& BGM
https://music.163.com/playlist?id=534108749	鬼怪/最佳的一击/步步惊心丽 2017韩剧OST
https://music.163.com/playlist?id=2234374313	【韩】让你感受女生的霸气?Girl CRUSH
https://music.163.com/playlist?id=542439071	ALiEN舞室编舞歌单
https://music.163.com/playlist?id=2006243781	韩语|男女对唱小情歌 忍不住想恋爱呀
https://music.163.com/playlist?id=878579168	【正能量】温柔也励志的韩语清新小曲
https://music.163.com/playlist?id=752564546	［韩语］深 夜 温 暖 中
https://music.163.com/playlist?id=593493966	［韩语］可爱得冒泡泡了~
https://music.163.com/playlist?id=974213541	韩式小甜歌，初冬就该甜甜的
https://music.163.com/playlist?id=977452696	『韩』秋日渐近，唱一曲悲凉
https://music.163.com/playlist?id=2445002991	『韩语』 你过得如何 是否想起我
https://music.163.com/playlist?id=2399678641	满天星月 是我长夜里落下的泪水
https://music.163.com/playlist?id=824214681	『韩语』喝杯牛奶 就这样开启崭新的一天
https://music.163.com/playlist?id=2543678919	日语歌鸭╰(*?︶`*)╯
https://music.163.com/playlist?id=2538427501	ハチ米津玄师
https://music.163.com/playlist?id=2548855718	REOL
https://music.163.com/playlist?id=2539010556	【个人向】人生到处知何似，应似飞鸿踏雪泥
https://music.163.com/playlist?id=2550589091	这 是 我 的 童 年 ！
https://music.163.com/playlist?id=2544285370	2018.12.10 班会!
https://music.163.com/playlist?id=2552496542	物语系列
https://music.163.com/playlist?id=2551170877	骆狗
https://music.163.com/playlist?id=2534059911	怪化猫
https://music.163.com/playlist?id=2544854033	踢你的肾合集
https://music.163.com/playlist?id=2538317430	超级无敌可爱的歌单（日文）
https://music.163.com/playlist?id=2540430235	乃木坂46 2018上海演唱会歌单 |HiRes音源|
https://music.163.com/playlist?id=2546893646	温酒
https://music.163.com/playlist?id=2533810842	从天而降的一亿颗星星BGM
https://music.163.com/playlist?id=2548950116	睡前安心神曲奏界。
https://music.163.com/playlist?id=2506436476	米津玄師（ハチ）
https://music.163.com/playlist?id=2543853772	津轻三味线·从高桥竹山到上妻宏光
https://music.163.com/playlist?id=2529931792	『家庭教师』觉醒+OP+ED（按顺序）
